Group,Field,Gender,University,Semester
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Gcuf,7th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Punjab University Lahore,7th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Riphah international University,7th
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,Fast NUCES,7th
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,COMSATS University Islamabad,7th
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,City university of science and technology,7th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,COMSATS University Islamabad,7th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology University,7th
Business & Management (Female) -  Group 2,Business & Management,Female,Bahria University,7th
Business & Management (Female) -  Group 2,Business & Management,Female,Muhammad Ali Jinnah University,7th
Business & Management (Female) -  Group 2,Business & Management,Female,Air University Islamabad,7th
Business & Management (Male) -  Group 1,Business & Management,Male,COMSATS University Islamabad,7th
Business & Management (Male) -  Group 1,Business & Management,Male,"LUMS, Lahore university of management sciences",7th
Business & Management (Male) -  Group 1,Business & Management,Male,Muhammad Ali Jinnah University,7th
Data Science (Female) -  Group 2,Data Science,Female,Szabist Karachi,7th
Data Science (Female) -  Group 2,Data Science,Female,Rawalpindi Women University,7th
Data Science (Male) -  Group 1,Data Science,Male,Iqra University,7th
DevOps (Female) -  Group 1,DevOps,Female,Fatima Jinnah Women University,7th
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,Rawalpindi Women University,7th
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,International Islamic University Islamabad,7th
HR (Female) -  Group 1,HR,Female,NUMS,7th
Red Teaming (Female) -  Group 1,Red Teaming,Female,Gcuf,7th
Red Teaming (Female) -  Group 1,Red Teaming,Female,Rawalpindi Women University,7th
Red Teaming (Female) -  Group 1,Red Teaming,Female,Rawalpindi Women University,7th
Red Teaming (Female) -  Group 2,Red Teaming,Female,Abdul wali khan university Mardan,7th
Red Teaming (Male) -  Group 1,Red Teaming,Male,Air University Multan,7th
Red Teaming (Male) -  Group 1,Red Teaming,Male,Mehran University of Engineering and Technology Jamshoro,7th
Red Teaming (Male) -  Group 2,Red Teaming,Male,PMAS UAAR,7th
Red Teaming (Male) -  Group 2,Red Teaming,Male,"National University of Technology (Nutech), Islamabad",7th
Red Teaming (Male) -  Group 2,Red Teaming,Male,Bahria University Islamabad,7th
Red Teaming (Male) -  Group 3,Red Teaming,Male,Abdul wali khan university Mardan,7th
Red Teaming (Male) -  Group 3,Red Teaming,Male,Air University Islamabad,7th
Red Teaming (Male) -  Group 3,Red Teaming,Male,Air University Islamabad,7th
SQA (Female) -  Group 1,SQA,Female,Bahria School of Engineering and Applied Sciences.,7th
Web Development (Female) -  Group 1,Web Development,Female,Rawalpindi Women University,7th
Web Development (Female) -  Group 1,Web Development,Female,NUTECH,7th
Web Development (Female) -  Group 1,Web Development,Female,Rawalpindi Women University,7th
Web Development (Female) -  Group 2,Web Development,Female,BZU Multan,7th
Web Development (Female) -  Group 2,Web Development,Female,Lahore College for Women University (Affiiated Campus: GGCW Gulberg),7th
Web Development (Female) -  Group 2,Web Development,Female,university of mianwali,7th
Web Development (Female) -  Group 3,Web Development,Female,National University of Modern Languages (NUML) Islamabad,7th
